timestamp_utc,latitud,longitud,altitud_km
2026-03-06 17:58:16.335593,42.12577283934601,58.24625724206028,426.5379341800396
2026-03-06 17:57:16.335593,39.911484527854775,54.29035164195066,426.4187044704399
2026-03-06 17:56:16.335593,37.553869402593044,50.60494220312305,426.2789872146239
2026-03-06 17:55:16.335593,35.0726326017376,47.165924243201225,426.1293719746355
2026-03-06 17:54:16.335593,32.48519341197775,43.94811258773883,425.9807840699468
2026-03-06 17:53:16.335593,29.80685163851287,40.92652379558648,425.84424819992233
2026-03-06 17:52:16.335593,27.05101394860038,38.077150839014266,425.73064882041297
2026-03-06 17:51:16.335593,24.22944048615487,35.377370886058465,425.65049183932194
2026-03-06 17:50:16.335593,21.352488019276887,32.80610280165393,425.61367225756493
2026-03-06 17:49:16.335593,18.42933701492522,30.34380251217428,425.62925235120184
2026-03-06 17:48:16.335593,15.468197247023811,27.97235873508265,425.7052548614189
2026-03-06 17:47:16.335593,12.476490925043963,25.67493119406853,425.8484754284204
2026-03-06 17:46:16.335593,9.461014818802322,23.435758382651194,426.0643181733753
2026-03-06 17:45:16.335593,6.42808415556796,21.239951346610905,426.35665790300027
2026-03-06 17:44:16.335593,3.3836616636371066,19.073282774397928,426.72773189195055
2026-03-06 17:43:16.335593,0.33347534977444965,16.921975976183894,427.17806360014106
2026-03-06 17:42:16.335593,-2.716871375112478,14.772495368238072,427.7064200205558
2026-03-06 17:41:16.335593,-5.761793648516236,12.61133834659067,428.3098036449459
2026-03-06 17:40:16.335593,-8.795619656033711,10.424827608464453,428.98347930099555
2026-03-06 17:39:16.335593,-11.812482161091104,8.198902897375751,429.7210353746957
2026-03-06 17:38:16.335593,-14.806203529808936,5.918911788640373,430.51447820836654
2026-03-06 17:37:16.335593,-17.770170689901445,3.5694006165288474,431.35435777690736
2026-03-06 17:36:16.335593,-20.69719648342784,1.133909245877428,432.2299221128998
2026-03-06 17:35:16.335593,-23.579364043270413,-1.4052224404360132,433.1292973892643
2026-03-06 17:34:16.335593,-26.407851314655954,-4.06702207972402,434.03969009062587
2026-03-06 17:33:16.335593,-29.17273393285098,-6.87200267071973,434.94760732003243
2026-03-06 17:32:16.335593,-31.86276678358388,-9.842193456317379,435.83909100110793
2026-03-06 17:31:16.335593,-34.46514833904399,-13.001028073152044,436.6999615495946
2026-03-06 17:30:16.335593,-36.965278130402965,-16.37301048990345,437.51606649960974
2026-03-06 17:29:16.335593,-39.34652751203126,-19.983052025566632,438.2735295746434
2026-03-06 17:28:16.335593,-41.59005814842803,-23.855347635937164,438.9589957832651
2026-03-06 17:27:16.335593,-43.674741670629835,-28.011649405269708,439.5598682855766
2026-03-06 17:26:16.335593,-45.577256048568174,-32.468822782912305,440.0645330086815
2026-03-06 17:25:16.335593,-47.27245392934505,-37.23567006464292,440.4625672766162
2026-03-06 17:24:16.335593,-48.734104209909596,-42.309210791154094,440.74492905196973
2026-03-06 17:23:16.335593,-49.936083168553324,-47.67092938875151,440.90412375343084
2026-03-06 17:22:16.335593,-50.854017504565455,-53.283874551492346,440.9343460067852
2026-03-06 17:21:16.335593,-51.46725340103975,-59.091750280852025,440.83159409955795
2026-03-06 17:20:16.335593,-51.760869545321796,-65.0210221067215,440.59375533597773
2026-03-06 17:19:16.335593,-51.72733375908746,-70.98639551284158,440.2206609248538
2026-03-06 17:18:16.335593,-51.36740356719174,-76.89892886411415,439.7141094762279
2026-03-06 17:17:16.335593,-50.690029972933104,-82.67501530044645,439.07785863066323
2026-03-06 17:16:16.335593,-49.711291268735145,-88.24410209027427,438.3175847978343
2026-03-06 17:15:16.335593,-48.45263868394738,-93.55354352097116,437.4408114370455
2026-03-06 17:14:16.335593,-46.938865488146234,-98.57007349955632,436.45680677167667
2026-03-06 17:13:16.335593,-45.19618419550248,-103.27842511180555,435.3764522897883
2026-03-06 17:12:16.335593,-43.25066475240146,-107.67818294537638,434.2120838430226
2026-03-06 17:11:16.335593,-41.12713187552185,-111.77997987718452,432.9773076108047
2026-03-06 17:10:16.335593,-38.84850100500791,-115.60185341679598,431.6867936420071
2026-03-06 17:09:16.335593,-36.43546871641682,-119.16620305968169,430.35605011417783
2026-03-06 17:08:16.335593,-33.90645583064957,-122.49748968643355,429.00118185266194
2026-03-06 17:07:16.335593,-31.277711202519534,-125.6206352701146,427.6386370179228
2026-03-06 17:06:16.335593,-28.56350495212507,-128.5599987678644,426.2849461873218
2026-03-06 17:05:16.335593,-25.77636165807162,-131.3387860421708,424.9564583153612
2026-03-06 17:04:16.335593,-22.92730217383502,-133.97876618378442,423.6690782414692
2026-03-06 17:03:16.335593,-20.0260760883553,-136.5001928402037,422.4380105139678
2026-03-06 17:02:16.335593,-17.081375891935046,-138.92185598672694,421.2775143037255
2026-03-06 17:01:16.335593,-14.101029627145612,-141.26121233547613,420.2006740812113
2026-03-06 17:00:16.335593,-11.092172202320521,-143.53456008866877,419.2191905221999
2026-03-06 16:59:16.335593,-8.061397429434063,-145.75723642290956,418.3431957871268
