lat,lon,alt
0.08649109055246346,0.11394945145441177,0.6882687237765275
0.107333687530413,0.10270232971687354,0.6374517436272598
0.12963227341299383,0.09222269865515637,0.5847585027135231
0.15319100411826903,0.08244649033722129,0.5308544615613577
0.17783598038524223,0.07330496473749953,0.47642696712207666
0.20341401332512465,0.06472881156070692,0.42217416077685144
0.22979063838884556,0.05665072473631472,0.36879360739109757
0.25684781802979273,0.04900684378210424,0.31697084451549884
0.284481606490286,0.04173740494714173,0.2673680578312059
0.3125999297296672,0.0347868694411983,0.22061309209469826
0.34112055329099755,0.028103722700042022,0.17728900565302652
0.36996926083972176,0.02164007798181833,0.1379243707787552
0.3990782367889003,0.015351171627778881,0.10298451142153553
0.42838463044654457,0.009194804386848887,0.07286385448502486
0.45782927124263395,0.0031307605350686663,0.047879550545005145
0.4873555012933574,0.9979447082537158,0.0282664954393006
0.5169080906194411,0.991949667348472,0.014173855882990694
0.5464322003774424,0.9859323476657771,0.005663170955301666
0.5758723597183428,0.9798546199560523,0.00270806781449906
0.6051714219438222,0.9736774186108128,0.005195595309004375
0.6342694654048293,0.9673601537593044,0.012929144295892314
0.6631026041968747,0.9608601213875223,0.025632889513410362
0.6916016736367614,0.9541319197377223,0.0429576557595297
0.719690756597625,0.9471268907564401,0.06448808183539967
0.747285520554195,0.9397926216789798,0.08975093000396939
0.7742913440812698,0.9320725662963774,0.11822436718072638
0.8006012293976885,0.9239058808595919,0.14934802718309825
0.826093530046425,0.915227618726628,0.18253365131789678
0.8506295779030255,0.9059694921394073,0.21717609747183886
0.8740513813409991,0.8960614860007284,0.2526645055121506
0.8961796967270301,0.8854346845411254,0.28839340900296406
0.9168129536125833,0.8740257166344242,0.32377358949625545
0.9357277296786626,0.8617831807063983,0.3582424796293573
0.9526816808354566,0.8486761852837497,0.3912739342823315
0.9674199368354947,0.8347046316593683,0.42238720467850044
0.979685812020024,0.8199100164931383,0.45115496798405985
0.98923606627069,0.8043844628882901,0.47721028419551104
0.9958597854254871,0.7882748204696957,0.5002523724533852
0.9993984128885665,0.7717787119370121,0.5200511200571789
0.9997631357009502,0.7551309636170722,0.5364502590412386
0.9969455295150802,0.7385818216629563,0.5493691670123511
0.9910186322755683,0.7223714936428486,0.5588032708521737
0.9821281454847599,0.7067071006015472,0.5648230537334449
0.9704761331999708,0.6917471019402511,0.5675716875877974
0.9563011826093595,0.6775953166817732,0.5672613345834527
0.9398590016015174,0.6643035242624873,0.5641681822444298
0.9214062498562886,0.6518797180389788,0.5586262973988667
0.901188843878481,0.640298757049323,0.5510204040329043
0.8794347024333047,0.6295128994842552,0.5417777090991578
0.8563501681922536,0.6194607747164852,0.5313589180908842
0.8321190991245724,0.6100742657210763,0.520248598412671
0.8069036872827313,0.6012833554685344,0.508945062823738
0.7808462605749629,0.5930192686235025,0.49794995709784473
0.7540715430108906,0.5852163148741344,0.4877577450601436
0.7266890370524809,0.577812808627398,0.47884528986953967
0.6987953322815016,0.5707513670969516,0.47166173244504606
0.6704762406195016,0.5639788108899485,0.4666188658874013
0.6418087195027521,0.5574458238106604,0.46408219844830967
0.612862580968506,0.5511064762179707,0.464362886841883
0.5837020049907837,0.544917678120405,0.46771070659943703
0.5543868857766341,0.5388386016208269,0.47430820683167596
0.5249740442979185,0.5328300944584371,0.48426617361842617
0.4955183417963703,0.526854094786481,0.49762049974199485
0.46607372902221056,0.5208730501137722,0.5143305293288698
0.43669426556028307,0.5148493392614656,0.5342789149089775
0.407435143269243,0.5087446944620236,0.557272992348885
0.3783537478466826,0.5025196210188287,0.5830476469452499
0.3495107927905582,0.4961328142991274,0.6112696126238752
0.3209715602588574,0.4895405786970129,0.6415431165480676
0.29280728289277697,0.4826962614660845,0.6734167542992644
0.2650966984269129,0.4755497273848262,0.7063914568308789
0.23792780295413313,0.46804692006243914,0.7399293901574886
0.21139981601340957,0.4601295848558583,0.7734636126052017
0.18562534662184899,0.4517352696734829,0.8064083026220956
0.1607327073046314,0.44279777561578537,0.8381693626792313
0.13686825428764487,0.43324829910117074,0.8681552015853313
0.114198526150873,0.4230175839400403,0.8957874983536733
0.0929118020888563,0.4120394656236933,0.9205117552640907
0.07321850545502129,0.4002561983858943,0.9418074555466944
0.055349662410046685,0.38762583549621776,0.9591976517358063
0.039552455980325696,0.3741315857001023,0.9722578237154202
0.026081919329737913,0.3597924052499402,0.9806238603841599
0.01518816686386465,0.3446731189937434,0.9839990352592665
0.007099426836131906,0.32889134529574904,0.9821598638883984
0.0020025002700923,0.31261799293850767,0.9749607493088419
2.3766416003490054e-05,0.2960688143600285,0.9623373407816764
0.0012147639716690861,0.2794867697171536,0.9443085504442514
0.005545959401202671,0.2631181397200937,0.9209771922546679
0.01291039475248107,0.2471878418563605,0.8925292275756007
0.023136209976528932,0.23187974262295813,0.8592316219080267
0.03600480562960645,0.21732570197766504,0.8214288376007133
0.05127057817334374,0.20360390314767257,0.7795380077769778
0.06867877707088199,0.19074440253605512,0.7340428571504951
0.08797945218424569,0.17873871167832323,0.6854864557080838
0.10893690761078423,0.16755047438942317,0.6344629112543032
0.13133508667027083,0.15712525312503772,0.5816081262266586
0.1549797906778509,0.1473984551535501,0.5275897627123207
0.1796987123241301,0.1383011803244137,0.4730965767819697
0.20534012618744713,0.1297641960629256,0.4188272986261019
0.23177086697740928,0.12172041476517587,0.36547924804305154
0.2588740218554233,0.11410626577226185,0.3137368849881206
0.2865465997760128,0.10686229960206295,0.2642605016599475
0.3146973236655426,0.09993328602664836,0.21767526543245452
0.3432446136187966,0.09326799495337879,0.17456082043914734
0.3721147810725809,0.08681878950273514,0.1354416494398727
0.4012404258071295,0.08054111576135226,0.10077838660602367
0.4305590124051366,0.07439294161402621,0.0709602559970044
0.46001159535985486,0.06833417503886496,0.04629879000695425
0.4895416589613283,0.06232607763590853,0.027022957256722435
0.5190940372607643,0.05633067981509299,0.013275800893328693
