fecha_hora,latitud,longitud,altitud_km,bstar_nasa
2026-03-13T16:28:27.975456,-42.82861676539563,-138.98510769921597,431.4300952209075,0.00015844
2026-03-13T16:27:27.975456,-40.669866928225716,-143.03073595757087,430.26395677489927,0.00015844
2026-03-13T16:26:27.975456,-38.36031458721624,-146.8002951879039,429.0547622518523,0.00015844
2026-03-13T16:25:27.975456,-35.92024408507357,-150.31683084507546,427.8177825140144,0.00015844
2026-03-13T16:24:27.975456,-33.367666852991114,-153.60506895201036,426.5687906691801,0.00015844
2026-03-13T16:23:27.975456,-30.718449267365184,-156.6899406596057,425.3238075336775,0.00015844
2026-03-13T16:22:27.975456,-27.986518351000033,-159.59565619224105,424.09884069406064,0.00015844
2026-03-13T16:21:27.975456,-25.18409971737361,-162.34518638436498,422.90962173634034,0.00015844
2026-03-13T16:20:27.975456,-22.321959437897444,-164.96002846213412,421.7713463722437,0.00015844
2026-03-13T16:19:27.975456,-19.409633983505984,-167.46015991885102,420.6984222644556,0.00015844
2026-03-13T16:18:27.975456,-16.455640700704272,-169.86411071992703,419.7042293256108,0.00015844
2026-03-13T16:17:27.975456,-13.467666467490586,-172.18910589062352,418.8008971322155,0.00015844
2026-03-13T16:16:27.975456,-10.452735211229548,-174.4512470724988,417.999103850228,0.00015844
2026-03-13T16:15:27.975456,-7.4173566255663355,-176.66571348087683,417.3079007136088,0.00015844
2026-03-13T16:14:27.975456,-4.367659239423352,-178.8469708495763,416.7345656337667,0.00015844
2026-03-13T16:13:27.975456,-1.3095113329185077,178.99101762560375,416.28448895594653,0.00015844
2026-03-13T16:12:27.975456,1.7513667075255894,176.83458085340285,415.96109372970363,0.00015844
2026-03-13T16:11:27.975456,4.809295006964506,174.67013032855291,415.76579214218526,0.00015844
2026-03-13T16:10:27.975456,7.8585282311477425,172.4839508292252,415.6979789944089,0.00015844
2026-03-13T16:09:27.975456,10.893147471513977,170.26199032208135,415.75506230471825,0.00015844
2026-03-13T16:08:27.975456,13.906946406928183,167.9896484914177,415.9325303236995,0.00015844
2026-03-13T16:07:27.975456,16.893308122710344,165.6515645569533,416.2240534654314,0.00015844
2026-03-13T16:06:27.975456,19.845068960284326,163.23140735073292,416.6216189234409,0.00015844
2026-03-13T16:05:27.975456,22.75436588389552,160.71167440406413,417.11569506752227,0.00015844
2026-03-13T16:04:27.975456,25.612464241840538,158.07351266574844,417.69542212762116,0.00015844
2026-03-13T16:03:27.975456,28.409563720537427,155.29658227050962,418.3488251768438,0.00015844
2026-03-13T16:02:27.975456,31.134582138485325,152.35899751316828,419.06304503805245,0.00015844
2026-03-13T16:01:27.975456,33.77492009314458,149.23739686387938,419.82458246205323,0.00015844
2026-03-13T16:00:27.975456,36.31621518085684,145.90721698188543,420.61955076212183,0.00015844
2026-03-13T15:59:27.975456,38.74210358677108,142.3432731966227,421.43393203550465,0.00015844
2026-03-13T15:58:27.975456,41.034020342009235,138.5207762694838,422.25383215298456,0.00015844
2026-03-13T15:57:27.975456,43.171088001528645,134.41693138906754,423.0657298410948,0.00015844
2026-03-13T15:56:27.975456,45.13016583602079,130.01324923285503,423.8567154104336,0.00015844
2026-03-13T15:55:27.975456,46.88615331386897,125.29861803196597,424.6147149823339,0.00015844
2026-03-13T15:54:27.975456,48.412652519985684,120.27300228111433,425.3286964248252,0.00015844
2026-03-13T15:53:27.975456,49.68307750998873,114.95132847116348,425.9888536143657,0.00015844
2026-03-13T15:52:27.975456,50.67223494705704,109.36673359825998,426.58676608117946,0.00015844
2026-03-13T15:51:27.975456,51.35827962095278,103.57203997605652,427.1155315630104,0.00015844
2026-03-13T15:50:27.975456,51.72478920072392,97.63833316732043,427.5698694771442,0.00015844
2026-03-13T15:49:27.975456,51.762564978506234,91.65008100709528,427.9461938158706,0.00015844
2026-03-13T15:48:27.975456,51.470734411452106,85.69729789480431,428.2426544717637,0.00015844
2026-03-13T15:47:27.975456,50.8568623270734,79.86638731645894,428.45914650176894,0.00015844
2026-03-13T15:46:27.975456,49.93603960367078,74.23185142214595,428.5972873403991,0.00015844
2026-03-13T15:45:27.975456,48.7291948112919,68.85068860187602,428.6603624700535,0.00015844
2026-03-13T15:44:27.975456,47.26103936445639,63.76024291417777,428.6532405480279,0.00015844
